"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 13","194,300","203,000","203,000","193,900","4.65M","-4.52%"
"2025- 01- 10","203,500","208,000","212,500","202,500","5.95M","-0.73%"
"2025- 01- 09","205,000","201,000","206,000","199,800","6.66M","5.29%"
"2025- 01- 08","194,700","193,100","198,100","191,000","4.23M","-0.15%"
"2025- 01- 07","195,000","205,000","206,500","194,800","6.02M","-2.40%"
"2025- 01- 06","199,800","184,400","199,800","184,400","7.26M","9.84%"
"2025- 01- 03","181,900","174,500","182,700","173,100","4.22M","6.25%"
"2025- 01- 02","171,200","170,500","172,200","170,000","2.08M","-1.55%"
"2024- 12- 30","173,900","174,000","175,800","172,400","1.41M","-0.34%"
"2024- 12- 27","174,500","170,100","176,000","170,000","2.63M","2.59%"
"2024- 12- 26","170,100","170,000","172,000","169,400","2.00M","0.95%"
"2024- 12- 24","168,500","171,700","171,900","168,300","1.82M","-0.65%"
"2024- 12- 23","169,600","170,000","173,300","169,600","3.07M","0.65%"
"2024- 12- 20","168,500","174,100","174,800","167,100","4.40M","-3.71%"
"2024- 12- 19","175,000","173,900","176,800","173,000","4.74M","-4.63%"
"2024- 12- 18","183,500","183,400","183,900","181,600","2.35M","-0.27%"
"2024- 12- 17","184,000","183,000","184,500","182,100","3.12M","2.62%"
"2024- 12- 16","179,300","177,400","180,400","177,300","3.25M","2.17%"
"2024- 12- 13","175,500","174,400","176,400","173,500","3.58M","-0.34%"
"2024- 12- 12","176,100","176,500","177,400","173,500","4.34M","2.50%"
"2024- 12- 11","171,800","167,400","171,800","167,000","2.26M","0.82%"
"2024- 12- 10","170,400","168,000","170,400","167,600","2.99M","0.89%"
"2024- 12- 09","168,900","167,100","170,600","165,000","5.10M","1.08%"
"2024- 12- 06","167,100","173,500","173,600","165,000","4.35M","-3.41%"
"2024- 12- 05","173,000","170,000","175,600","169,300","4.62M","2.98%"
"2024- 12- 04","168,000","161,300","168,000","161,100","5.65M","1.88%"
"2024- 12- 03","164,900","159,200","165,100","159,100","4.04M","3.84%"
"2024- 12- 02","158,800","162,200","162,700","158,600","3.53M","-0.69%"
"2024- 11- 29","159,900","160,000","162,400","157,600","4.59M","-0.74%"
"2024- 11- 28","161,100","164,600","166,300","160,800","5.52M","-4.28%"
"2024- 11- 27","168,300","175,600","175,700","167,900","4.63M","-4.97%"
"2024- 11- 26","177,100","175,200","177,700","174,700","1.96M","0.06%"
"2024- 11- 25","177,000","174,500","179,500","173,900","4.25M","0.17%"
"2024- 11- 22","176,700","171,700","178,200","171,200","3.79M","4.68%"
"2024- 11- 21","168,800","168,200","173,000","168,200","3.79M","-1.06%"
"2024- 11- 20","170,600","175,000","175,100","170,200","3.63M","0.00%"
"2024- 11- 19","170,600","170,400","172,900","168,100","3.99M","-0.64%"
"2024- 11- 18","171,700","173,800","177,800","170,300","3.85M","-3.65%"
"2024- 11- 15","178,200","174,000","179,000","173,600","4.18M","3.01%"
"2024- 11- 14","173,000","182,900","184,900","171,700","6.28M","-5.41%"
"2024- 11- 13","182,900","185,700","189,500","182,600","3.10M","-1.56%"
"2024- 11- 12","185,800","192,500","192,500","184,900","3.76M","-3.53%"
"2024- 11- 11","192,600","199,300","199,300","192,400","2.60M","-3.94%"
"2024- 11- 08","200,500","200,500","203,000","198,800","2.99M","1.57%"
"2024- 11- 07","197,400","197,400","198,300","193,100","2.94M","0.82%"
"2024- 11- 06","195,800","197,700","199,200","192,700","3.40M","1.35%"
"2024- 11- 05","193,200","193,600","198,800","192,100","3.54M","-0.41%"
"2024- 11- 04","194,000","185,200","194,000","183,700","3.53M","6.48%"
"2024- 11- 01","182,200","182,500","184,900","180,500","3.43M","-2.20%"
"2024- 10- 31","186,300","189,900","192,900","186,100","4.49M","-4.46%"
"2024- 10- 30","195,000","190,200","195,400","189,400","3.44M","2.47%"
"2024- 10- 29","190,300","196,000","197,000","189,100","3.94M","-2.91%"
"2024- 10- 28","196,000","203,500","205,000","194,200","4.05M","-2.49%"
"2024- 10- 25","201,000","203,000","206,000","199,400","5.44M","1.41%"
"2024- 10- 24","198,200","193,500","202,000","190,000","6.16M","1.12%"
"2024- 10- 23","196,000","188,500","196,700","188,000","4.32M","4.37%"
"2024- 10- 22","187,800","195,300","195,300","187,500","3.43M","-1.62%"
"2024- 10- 21","190,900","189,400","192,300","188,000","2.41M","1.92%"
"2024- 10- 18","187,300","198,200","198,200","186,200","5.40M","-4.44%"
"2024- 10- 17","196,000","191,200","196,000","188,700","3.90M","3.87%"
"2024- 10- 16","188,700","184,700","192,500","183,600","4.75M","-2.18%"
"2024- 10- 15","192,900","191,900","193,200","189,700","3.93M","2.88%"
"2024- 10- 14","187,500","186,900","192,300","186,900","3.20M","0.81%"
"2024- 10- 11","186,000","190,000","191,200","185,100","3.23M","-0.37%"
"2024- 10- 10","186,700","184,500","188,100","183,400","5.67M","4.89%"
"2024- 10- 08","178,000","182,200","185,000","178,000","3.77M","-3.73%"
"2024- 10- 07","184,900","178,400","184,900","176,000","3.88M","6.20%"
"2024- 10- 04","174,100","171,700","175,600","170,700","3.60M","2.96%"
"2024- 10- 02","169,100","172,700","175,500","169,100","4.67M","-3.15%"
"2024- 09- 30","174,600","183,700","183,800","174,600","4.52M","-5.01%"
"2024- 09- 27","183,800","187,500","189,300","183,800","6.72M","1.60%"
"2024- 09- 26","180,900","178,400","180,900","176,200","9.45M","9.44%"
"2024- 09- 25","165,300","166,700","169,300","165,000","4.60M","1.10%"
"2024- 09- 24","163,500","163,700","163,700","159,200","3.38M","0.93%"
"2024- 09- 23","162,000","155,800","162,900","155,700","4.46M","3.12%"
"2024- 09- 20","157,100","160,500","160,800","155,900","6.93M","2.81%"
"2024- 09- 19","152,800","154,700","155,700","144,700","14.76M","-6.14%"
"2024- 09- 13","162,800","166,500","166,700","161,100","5.18M","-3.55%"
"2024- 09- 12","168,800","165,200","171,300","163,800","8.59M","7.38%"
"2024- 09- 11","157,200","156,800","158,700","154,300","3.18M","1.09%"
"2024- 09- 10","155,500","157,400","161,700","154,300","4.68M","-0.96%"
"2024- 09- 09","157,000","151,800","157,700","150,500","4.44M","0.38%"
"2024- 09- 06","156,400","157,100","158,200","154,900","3.39M","-1.88%"
"2024- 09- 05","159,400","157,000","163,000","156,600","5.29M","2.97%"
"2024- 09- 04","154,800","152,900","159,000","152,900","9.80M","-8.02%"
"2024- 09- 03","168,300","172,900","173,800","168,300","3.24M","-3.28%"
"2024- 09- 02","174,000","173,600","174,900","168,400","3.48M","0.17%"
"2024- 08- 30","173,700","171,000","175,500","169,400","4.20M","2.36%"
"2024- 08- 29","169,700","167,600","171,700","167,200","8.16M","-5.35%"
"2024- 08- 28","179,300","175,000","180,800","174,000","5.52M","2.46%"
"2024- 08- 27","175,000","176,800","180,200","173,400","5.75M","-2.56%"
"2024- 08- 26","179,600","187,800","188,500","179,600","4.86M","-3.18%"
"2024- 08- 23","185,500","186,000","189,300","185,400","4.27M","-2.93%"
"2024- 08- 22","191,100","192,000","194,400","189,000","3.15M","-0.78%"
"2024- 08- 21","192,600","193,000","195,400","191,100","4.36M","-3.56%"
"2024- 08- 20","199,700","198,700","202,500","198,100","4.20M","2.99%"
"2024- 08- 19","193,900","199,900","199,900","192,400","3.94M","-2.90%"
