"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 07- 03","117,600","115,300","118,900","115,300","3.00M","2.08%"
"2023- 07- 02","115,200","115,200","115,200","115,200","","0.00%"
"2023- 06- 30","115,200","114,600","115,500","113,200","2.56M","-0.86%"
"2023- 06- 29","116,200","115,200","117,400","114,500","4.31M","1.66%"
"2023- 06- 28","114,300","114,200","115,200","112,800","3.17M","1.15%"
"2023- 06- 27","113,000","114,000","114,000","110,800","3.59M","-0.44%"
"2023- 06- 26","113,500","113,100","113,900","111,200","3.34M","-0.09%"
"2023- 06- 25","113,600","113,600","113,600","113,600","","0.00%"
"2023- 06- 23","113,600","114,000","115,200","112,500","2.83M","-0.35%"
"2023- 06- 22","114,000","114,200","115,900","113,400","2.58M","-0.96%"
"2023- 06- 21","115,100","116,200","117,500","114,600","2.70M","-0.86%"
"2023- 06- 20","116,100","114,000","117,000","113,200","3.13M","1.13%"
"2023- 06- 19","114,800","118,000","118,500","113,500","4.18M","-3.45%"
"2023- 06- 18","118,900","118,900","118,900","118,900","","0.00%"
"2023- 06- 16","118,900","117,300","119,800","116,300","4.21M","-0.08%"
"2023- 06- 15","119,000","120,200","121,100","118,000","3.73M","0.17%"
"2023- 06- 14","118,800","118,800","119,700","118,100","3.14M","-0.59%"
"2023- 06- 13","119,500","117,000","120,100","117,000","5.90M","4.09%"
"2023- 06- 12","114,800","114,400","115,800","114,000","2.63M","-0.52%"
"2023- 06- 11","115,400","115,400","115,400","115,400","","0.00%"
"2023- 06- 09","115,400","110,300","115,600","108,300","7.12M","5.20%"
"2023- 06- 08","109,700","107,000","109,700","106,700","4.05M","1.57%"
"2023- 06- 07","108,000","108,700","109,300","108,000","2.70M","-0.64%"
"2023- 06- 06","108,700","108,700","108,700","108,700","","0.00%"
"2023- 06- 05","108,700","110,100","110,500","108,500","3.08M","-1.45%"
"2023- 06- 04","110,300","110,300","110,300","110,300","","0.00%"
"2023- 06- 02","110,300","111,000","112,700","109,200","3.50M","0.00%"
"2023- 06- 01","110,300","106,000","110,500","106,000","5.51M","1.57%"
"2023- 05- 31","108,600","110,000","110,900","108,500","7.84M","-1.54%"
"2023- 05- 30","110,300","113,200","113,400","109,500","8.55M","1.01%"
"2023- 05- 29","109,200","109,200","109,200","109,200","","0.00%"
"2023- 05- 26","109,200","107,500","110,500","106,100","9.89M","5.51%"
"2023- 05- 25","103,500","104,300","104,300","101,100","7.39M","5.94%"
"2023- 05- 24","97,700","97,400","97,800","96,300","2.08M","-0.20%"
"2023- 05- 23","97,900","99,000","99,000","97,000","2.47M","-0.31%"
"2023- 05- 22","98,200","97,700","99,400","97,100","3.93M","0.92%"
"2023- 05- 21","97,300","97,300","97,300","97,300","","0.00%"
"2023- 05- 19","97,300","95,000","97,900","94,900","4.91M","3.95%"
"2023- 05- 18","93,600","92,800","94,000","92,000","3.43M","1.85%"
"2023- 05- 17","91,900","92,000","92,000","90,300","3.34M","1.66%"
"2023- 05- 16","90,400","89,500","90,700","88,500","5.10M","4.63%"
"2023- 05- 15","86,400","87,000","87,100","85,500","2.35M","-0.92%"
"2023- 05- 14","87,200","87,200","87,200","87,200","","0.00%"
"2023- 05- 12","87,200","86,300","87,600","86,200","2.65M","1.04%"
"2023- 05- 11","86,300","86,900","87,300","85,000","2.76M","-0.69%"
"2023- 05- 10","86,900","87,200","87,700","86,300","2.13M","-0.46%"
